"ID" "Group" "time_variables" "rats" "time_variable"
"71" "7" "1" "WD36" 274 36
"72" "8" "1" "WD36" 265 36
"73" "9" "2" "WD36" 443 36
"74" "10" "2" "WD36" 460 36
"75" "11" "2" "WD36" 455 36
"76" "12" "2" "WD36" 597 36
"77" "13" "3" "WD36" 493 36
"78" "14" "3" "WD36" 540 36
"79" "15" "3" "WD36" 546 36
"80" "16" "3" "WD36" 538 36
"81" "1" "1" "WD43" 266 43
"82" "2" "1" "WD43" 243 43
"83" "3" "1" "WD43" 267 43
"84" "4" "1" "WD43" 270 43
"85" "5" "1" "WD43" 274 43
"86" "6" "1" "WD43" 278 43
"87" "7" "1" "WD43" 276 43
"88" "8" "1" "WD43" 265 43
"89" "9" "2" "WD43" 442 43
"90" "10" "2" "WD43" 458 43
"91" "11" "2" "WD43" 451 43
"92" "12" "2" "WD43" 595 43
"93" "13" "3" "WD43" 493 43
"94" "14" "3" "WD43" 525 43
"95" "15" "3" "WD43" 538 43
"96" "16" "3" "WD43" 535 43
"97" "1" "1" "WD44" 266 44
"98" "2" "1" "WD44" 244 44
"99" "3" "1" "WD44" 267 44
"100" "4" "1" "WD44" 272 44
"101" "5" "1" "WD44" 273 44
"102" "6" "1" "WD44" 278 44
"103" "7" "1" "WD44" 271 44
"104" "8" "1" "WD44" 267 44
"105" "9" "2" "WD44" 446 44
"106" "10" "2" "WD44" 464 44
"107" "11" "2" "WD44" 450 44
"108" "12" "2" "WD44" 595 44
"109" "13" "3" "WD44" 504 44
"110" "14" "3" "WD44" 530 44
"111" "15" "3" "WD44" 544 44
"112" "16" "3" "WD44" 542 44
"113" "1" "1" "WD50" 265 50
"114" "2" "1" "WD50" 238 50
"115" "3" "1" "WD50" 264 50
"116" "4" "1" "WD50" 274 50
"117" "5" "1" "WD50" 276 50
"118" "6" "1" "WD50" 284 50
"119" "7" "1" "WD50" 282 50
"120" "8" "1" "WD50" 273 50
"121" "9" "2" "WD50" 456 50
"122" "10" "2" "WD50" 475 50
"123" "11" "2" "WD50" 462 50
"124" "12" "2" "WD50" 612 50
"125" "13" "3" "WD50" 507 50
"126" "14" "3" "WD50" 543 50
"127" "15" "3" "WD50" 553 50
"128" "16" "3" "WD50" 550 50
"129" "1" "1" "WD57" 272 57
"130" "2" "1" "WD57" 247 57
"131" "3" "1" "WD57" 268 57
"132" "4" "1" "WD57" 273 57
"133" "5" "1" "WD57" 278 57
"134" "6" "1" "WD57" 279 57
"135" "7" "1" "WD57" 281 57
"136" "8" "1" "WD57" 274 57
"137" "9" "2" "WD57" 468 57
"138" "10" "2" "WD57" 484 57
"139" "11" "2" "WD57" 466 57
"140" "12" "2" "WD57" 618 57
"141" "13" "3" "WD57" 518 57
"142" "14" "3" "WD57" 544 57
"143" "15" "3" "WD57" 555 57
"144" "16" "3" "WD57" 553 57
"145" "1" "1" "WD64" 278 64
"146" "2" "1" "WD64" 245 64
"147" "3" "1" "WD64" 269 64
"148" "4" "1" "WD64" 275 64
"149" "5" "1" "WD64" 280 64
"150" "6" "1" "WD64" 281 64
"151" "7" "1" "WD64" 284 64
"152" "8" "1" "WD64" 278 64
"153" "9" "2" "WD64" 478 64
"154" "10" "2" "WD64" 496 64
"155" "11" "2" "WD64" 472 64
"156" "12" "2" "WD64" 628 64
"157" "13" "3" "WD64" 525 64
"158" "14" "3" "WD64" 559 64
"159" "15" "3" "WD64" 548 64
"160" "16" "3" "WD64" 569 64
"161" "1" "1" "WD8" 250 8
"162" "2" "1" "WD8" 230 8
"163" "3" "1" "WD8" 250 8
"164" "4" "1" "WD8" 255 8
"165" "5" "1" "WD8" 260 8
"166" "6" "1" "WD8" 265 8
"167" "7" "1" "WD8" 275 8
"168" "8" "1" "WD8" 255 8
"169" "9" "2" "WD8" 415 8
"170" "10" "2" "WD8" 420 8
"171" "11" "2" "WD8" 445 8
"172" "12" "2" "WD8" 560 8
"173" "13" "3" "WD8" 465 8
"174" "14" "3" "WD8" 525 8
"175" "15" "3" "WD8" 525 8
"176" "16" "3" "WD8" 510 8
